This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \\                \\                \\           \\___________  \\
          \\                \\                \\_____________________ \\  \\
           \\                \\___________________________________  \\ \\  \\
____________\\___________________________________________________\\__\\_\\__\\____
2dd5ff69c85dfef6f0e3e9aafbe862e470746eb119f106e31b307a6f3b528f94 17 14 1327 64
ed0a5408263162fd9da831a35a52f5c278b6b73e63e7c38d6314dae7adc02a66 16 16 1126 278
7243510a27aef27a29a924bac294fcf4dc4873f81f6cde32058346e0132475b9 5 5 136 1
6db0c70d88fe01b9e5c950b9f2fa969a97ad8f30b3db55d5ce1dcd655cdab440 2 2 3055 0
89633f7b08466359d840fcdf6283ea66fef0815f653b1010129435a0f83e0d5f 30 30 35439 5379
1af8e8148b523daae4bb43b6fdf81f8bcaf069a9c6dafbd5864c52068713d250 6 6 173 2
0d50d9a74f54bbf698e57b68f32834eb4dbc0bf37655c0766e6add32c1b230ee 8 8 215 22
cf3be7a15a2d63f567142a8db4b0c7f24d9b36d64e4c2f3eb2648a2cc8740059 2 2 32 0
44caa1de290ef2156a73d4deea1f029d24ec2bbf2c890248ca9b5172423edef6 2 2 264 0
19e4825ff6b376ccf9eb591a1f74cee61d597934703c78b1086c2faec66a0358 65 65 6139 1780
304b6ee2aa52fdfd8695180977545274a5186487dac1ca8e201301cc22a8a92c 3 3 580 120
86130d1e9b033e9d024524255e7a9dcd0ebae23ed6d4756b42d29e15ae37740f 2 2 347 2
c8ea7b43d6fb345445cd1f6bb21686a34a95e721663c5281ee12a98d325a5214 1 1 1709 0
da31f728137c2a8e1504d1e5a35857fa5cc0d42817e43905904a7b11ab95c419 11 11 6565 1517
622a85b4112cf2c84b01c07bf86c8935bd724d9a49aef09e553a25850b0862a7 5 5 462 2
3ceb60f5dd3f0b69720156d4e1279748e7265402c5342bd69710c55a680de938 3 3 66 13
442815fbc70afffb06db6345f0186f14470e2a5cdf5feb5d04a8fd15002105c1 2 2 431 154
ce82b0666b879779a579e16a6124bceb9a66a016f529aa754aeb8820014b3e34 9 9 210 12
8a0630185ac99a6b6b4d3caf3861ab9c17370a7cef7c90815e39a8f8f024caed 13 13 32975 1718
2a0f7477a1db66a67194ddee212cf16868fde7542b39295c34eb4a7c9473f635 4 4 205 45
8bdb2436634ddab966d5ac173cf27a0183e08807f936a77b894f581e82d936b0 2 2 139 0
b52ac205a5ee05430cde66de709514e744e695357882da4de0170a006d5a460e 1 1 26648 0
e1b1aa3cc3186f04d035a60971e3041d5e60236dfd092a1e70b59f308f02b68a 48 48 43008 9005
612616a079a32cb2ffc3b158fd72f8eb369e6a2c5f1a2d3d5ac2e0b6e5f604db 382 1 27 0
8ad08d86ef742715efdc342cc129ad45eedc1a2b71ea155f44865d8306e9367a 11 11 519 9
44d0cd361524b059a3116d86eb464594b41c77846f45d2c0f79f67191cc78394 5 5 30022 545
68100f4f5b4f8da5f8f85dc72ca86716a33aa551c0fd69e9302ee04b2542bc5d 9 9 17746 48
291d922d1504f3ca366d5d6972c554efc804459526200187305551c4b303139f 80 80 19471 4218
